"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1600","has title","chromium","Fri May 22 13:39:32 UTC 2026","passed","Fri May 22 13:39:33 UTC 2026","","example.spec.ts","",""
"","390","POST /users → 201 creates user","firefox","Fri May 22 13:39:35 UTC 2026","passed","Fri May 22 13:39:36 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","395","PUT /users/1 → 200 updates user","mobile","Fri May 22 13:39:45 UTC 2026","passed","Fri May 22 13:39:45 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","407","POST /users → 201 creates user","chromium","Fri May 22 13:39:31 UTC 2026","passed","Fri May 22 13:39:32 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","3892","has title","firefox","Fri May 22 13:39:36 UTC 2026","passed","Fri May 22 13:39:40 UTC 2026","","example.spec.ts","",""
"","1088","locked out user → shows locked error","chromium","Fri May 22 13:39:34 UTC 2026","passed","Fri May 22 13:39:35 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","7073","invalid credentials → shows error banner","mobile","Fri May 22 13:39:45 UTC 2026","passed","Fri May 22 13:39:52 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","25","DELETE /users/1 → 200 deleted","firefox","Fri May 22 13:39:36 UTC 2026","passed","Fri May 22 13:39:36 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","367","GET /users/1 → 200 with single user","firefox","Fri May 22 13:39:35 UTC 2026","passed","Fri May 22 13:39:36 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","35","DELETE /users/1 → 200 deleted","mobile","Fri May 22 13:39:45 UTC 2026","passed","Fri May 22 13:39:45 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","9220","has title","mobile","Fri May 22 13:39:45 UTC 2026","passed","Fri May 22 13:39:54 UTC 2026","","example.spec.ts","",""
"","4022","valid credentials → lands on inventory page","firefox","Fri May 22 13:39:36 UTC 2026","passed","Fri May 22 13:39:40 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","376","PUT /users/1 → 200 updates user","firefox","Fri May 22 13:39:36 UTC 2026","passed","Fri May 22 13:39:36 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","2372","locked out user → shows locked error","firefox","Fri May 22 13:39:41 UTC 2026","passed","Fri May 22 13:39:43 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
