"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","DELETE /users/1 → 200 deleted","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:22 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","2368","empty username → shows required error","mobile","Fri May 22 21:11:55 UTC 2026","passed","Fri May 22 21:11:58 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1380","invalid credentials → shows error banner","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:24 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","426","PUT /users/1 → 200 updates user","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:22 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","364","GET /users → 200 with user list","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:22 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","376","PUT /users/1 → 200 updates user","mobile","Fri May 22 21:11:37 UTC 2026","passed","Fri May 22 21:11:38 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","364","PUT /users/1 → 200 updates user","firefox","Fri May 22 21:11:28 UTC 2026","passed","Fri May 22 21:11:29 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","380","POST /users → 201 creates user","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:22 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","3202","has title","firefox","Fri May 22 21:11:28 UTC 2026","passed","Fri May 22 21:11:31 UTC 2026","","example.spec.ts","",""
"","1955","get started link","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:24 UTC 2026","","example.spec.ts","",""
"","382","GET /users → 200 with user list","mobile","Fri May 22 21:11:36 UTC 2026","passed","Fri May 22 21:11:37 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","23","DELETE /users/1 → 200 deleted","mobile","Fri May 22 21:11:37 UTC 2026","passed","Fri May 22 21:11:37 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","393","GET /users/1 → 200 with single user","mobile","Fri May 22 21:11:37 UTC 2026","passed","Fri May 22 21:11:37 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","17563","has title","mobile","Fri May 22 21:11:37 UTC 2026","passed","Fri May 22 21:11:54 UTC 2026","","example.spec.ts","",""
"","365","GET /users/1 → 200 with single user","firefox","Fri May 22 21:11:28 UTC 2026","passed","Fri May 22 21:11:28 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","26","GET /users/999 → 404 not found","firefox","Fri May 22 21:11:28 UTC 2026","passed","Fri May 22 21:11:28 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","4759","invalid credentials → shows error banner","firefox","Fri May 22 21:11:29 UTC 2026","passed","Fri May 22 21:11:33 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","4889","get started link","firefox","Fri May 22 21:11:28 UTC 2026","passed","Fri May 22 21:11:33 UTC 2026","","example.spec.ts","",""
"","1137","empty username → shows required error","chromium","Fri May 22 21:11:26 UTC 2026","passed","Fri May 22 21:11:27 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","20","GET /users/999 → 404 not found","mobile","Fri May 22 21:11:37 UTC 2026","passed","Fri May 22 21:11:37 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","2099","empty username → shows required error","firefox","Fri May 22 21:11:32 UTC 2026","passed","Fri May 22 21:11:34 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","379","GET /users/1 → 200 with single user","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:22 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","23","GET /users/999 → 404 not found","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:22 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1747","locked out user → shows locked error","mobile","Fri May 22 21:11:58 UTC 2026","passed","Fri May 22 21:12:00 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1706","valid credentials → lands on inventory page","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:24 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","21893","get started link","mobile","Fri May 22 21:11:37 UTC 2026","passed","Fri May 22 21:11:59 UTC 2026","","example.spec.ts","",""
"","379","POST /users → 201 creates user","mobile","Fri May 22 21:11:37 UTC 2026","passed","Fri May 22 21:11:37 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1574","has title","chromium","Fri May 22 21:11:22 UTC 2026","passed","Fri May 22 21:11:24 UTC 2026","","example.spec.ts","",""
"","1641","locked out user → shows locked error","firefox","Fri May 22 21:11:34 UTC 2026","passed","Fri May 22 21:11:36 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","19987","valid credentials → lands on inventory page","mobile","Fri May 22 21:11:38 UTC 2026","passed","Fri May 22 21:11:57 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","359","POST /users → 201 creates user","firefox","Fri May 22 21:11:28 UTC 2026","passed","Fri May 22 21:11:29 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","5136","valid credentials → lands on inventory page","firefox","Fri May 22 21:11:29 UTC 2026","passed","Fri May 22 21:11:34 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1008","locked out user → shows locked error","chromium","Fri May 22 21:11:26 UTC 2026","passed","Fri May 22 21:11:27 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","19956","invalid credentials → shows error banner","mobile","Fri May 22 21:11:38 UTC 2026","passed","Fri May 22 21:11:58 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","43","DELETE /users/1 → 200 deleted","firefox","Fri May 22 21:11:28 UTC 2026","passed","Fri May 22 21:11:28 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","383","GET /users → 200 with user list","firefox","Fri May 22 21:11:28 UTC 2026","passed","Fri May 22 21:11:28 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
