"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","DELETE /users/1 → 200 deleted","firefox","Fri May 22 12:44:15 UTC 2026","passed","Fri May 22 12:44:16 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","2048","empty username → shows required error","mobile","Fri May 22 12:44:33 UTC 2026","passed","Fri May 22 12:44:35 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","3362","has title","firefox","Fri May 22 12:44:16 UTC 2026","passed","Fri May 22 12:44:19 UTC 2026","","example.spec.ts","",""
"","4729","invalid credentials → shows error banner","firefox","Fri May 22 12:44:16 UTC 2026","passed","Fri May 22 12:44:21 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","2418","empty username → shows required error","firefox","Fri May 22 12:44:20 UTC 2026","passed","Fri May 22 12:44:22 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","10207","get started link","mobile","Fri May 22 12:44:25 UTC 2026","passed","Fri May 22 12:44:35 UTC 2026","","example.spec.ts","",""
"","4509","valid credentials → lands on inventory page","firefox","Fri May 22 12:44:16 UTC 2026","passed","Fri May 22 12:44:21 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","403","PUT /users/1 → 200 updates user","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:12 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","367","PUT /users/1 → 200 updates user","mobile","Fri May 22 12:44:24 UTC 2026","passed","Fri May 22 12:44:25 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","363","GET /users/1 → 200 with single user","mobile","Fri May 22 12:44:24 UTC 2026","passed","Fri May 22 12:44:25 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1845","locked out user → shows locked error","firefox","Fri May 22 12:44:21 UTC 2026","passed","Fri May 22 12:44:23 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","387","GET /users/1 → 200 with single user","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:12 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","383","GET /users → 200 with user list","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:12 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1333","invalid credentials → shows error banner","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:13 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","2101","locked out user → shows locked error","mobile","Fri May 22 12:44:33 UTC 2026","passed","Fri May 22 12:44:35 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","390","GET /users → 200 with user list","mobile","Fri May 22 12:44:24 UTC 2026","passed","Fri May 22 12:44:24 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1175","locked out user → shows locked error","chromium","Fri May 22 12:44:14 UTC 2026","passed","Fri May 22 12:44:15 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","374","GET /users/1 → 200 with single user","firefox","Fri May 22 12:44:16 UTC 2026","passed","Fri May 22 12:44:16 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","384","PUT /users/1 → 200 updates user","firefox","Fri May 22 12:44:16 UTC 2026","passed","Fri May 22 12:44:16 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","9349","has title","mobile","Fri May 22 12:44:24 UTC 2026","passed","Fri May 22 12:44:34 UTC 2026","","example.spec.ts","",""
"","7282","invalid credentials → shows error banner","mobile","Fri May 22 12:44:25 UTC 2026","passed","Fri May 22 12:44:32 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","27","DELETE /users/1 → 200 deleted","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:12 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","362","POST /users → 201 creates user","firefox","Fri May 22 12:44:16 UTC 2026","passed","Fri May 22 12:44:16 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","14","GET /users/999 → 404 not found","mobile","Fri May 22 12:44:24 UTC 2026","passed","Fri May 22 12:44:24 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","7905","valid credentials → lands on inventory page","mobile","Fri May 22 12:44:25 UTC 2026","passed","Fri May 22 12:44:33 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1128","empty username → shows required error","chromium","Fri May 22 12:44:14 UTC 2026","passed","Fri May 22 12:44:15 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1647","valid credentials → lands on inventory page","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:14 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","378","GET /users → 200 with user list","firefox","Fri May 22 12:44:15 UTC 2026","passed","Fri May 22 12:44:15 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","368","POST /users → 201 creates user","mobile","Fri May 22 12:44:24 UTC 2026","passed","Fri May 22 12:44:25 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","22","GET /users/999 → 404 not found","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:12 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1435","has title","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:13 UTC 2026","","example.spec.ts","",""
"","20","DELETE /users/1 → 200 deleted","mobile","Fri May 22 12:44:24 UTC 2026","passed","Fri May 22 12:44:24 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","20","GET /users/999 → 404 not found","firefox","Fri May 22 12:44:16 UTC 2026","passed","Fri May 22 12:44:16 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","5549","get started link","firefox","Fri May 22 12:44:16 UTC 2026","passed","Fri May 22 12:44:22 UTC 2026","","example.spec.ts","",""
"","372","POST /users → 201 creates user","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:12 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","2007","get started link","chromium","Fri May 22 12:44:12 UTC 2026","passed","Fri May 22 12:44:14 UTC 2026","","example.spec.ts","",""
