"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1721","valid credentials → lands on inventory page","chromium","Fri May 22 12:36:14 UTC 2026","passed","Fri May 22 12:36:16 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","16","GET /users/999 → 404 not found","mobile","Fri May 22 12:36:27 UTC 2026","passed","Fri May 22 12:36:27 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","7452","has title","mobile","Fri May 22 12:36:27 UTC 2026","passed","Fri May 22 12:36:34 UTC 2026","","example.spec.ts","",""
"","1045","empty username → shows required error","chromium","Fri May 22 12:36:17 UTC 2026","passed","Fri May 22 12:36:18 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","5113","invalid credentials → shows error banner","firefox","Fri May 22 12:36:19 UTC 2026","passed","Fri May 22 12:36:24 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","386","GET /users/1 → 200 with single user","firefox","Fri May 22 12:36:18 UTC 2026","passed","Fri May 22 12:36:18 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","449","PUT /users/1 → 200 updates user","chromium","Fri May 22 12:36:13 UTC 2026","passed","Fri May 22 12:36:14 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","377","GET /users → 200 with user list","chromium","Fri May 22 12:36:13 UTC 2026","passed","Fri May 22 12:36:14 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","4598","has title","firefox","Fri May 22 12:36:18 UTC 2026","passed","Fri May 22 12:36:23 UTC 2026","","example.spec.ts","",""
"","406","GET /users/1 → 200 with single user","chromium","Fri May 22 12:36:13 UTC 2026","passed","Fri May 22 12:36:14 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","420","POST /users → 201 creates user","chromium","Fri May 22 12:36:13 UTC 2026","passed","Fri May 22 12:36:14 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","386","PUT /users/1 → 200 updates user","firefox","Fri May 22 12:36:18 UTC 2026","passed","Fri May 22 12:36:19 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","11468","get started link","mobile","Fri May 22 12:36:27 UTC 2026","passed","Fri May 22 12:36:39 UTC 2026","","example.spec.ts","",""
"","25","GET /users/999 → 404 not found","firefox","Fri May 22 12:36:18 UTC 2026","passed","Fri May 22 12:36:18 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","390","PUT /users/1 → 200 updates user","mobile","Fri May 22 12:36:27 UTC 2026","passed","Fri May 22 12:36:28 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","374","GET /users/1 → 200 with single user","mobile","Fri May 22 12:36:27 UTC 2026","passed","Fri May 22 12:36:27 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","9909","valid credentials → lands on inventory page","mobile","Fri May 22 12:36:27 UTC 2026","passed","Fri May 22 12:36:37 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","9798","invalid credentials → shows error banner","mobile","Fri May 22 12:36:28 UTC 2026","passed","Fri May 22 12:36:37 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","385","POST /users → 201 creates user","mobile","Fri May 22 12:36:27 UTC 2026","passed","Fri May 22 12:36:27 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","44","DELETE /users/1 → 200 deleted","chromium","Fri May 22 12:36:14 UTC 2026","passed","Fri May 22 12:36:14 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1617","invalid credentials → shows error banner","chromium","Fri May 22 12:36:14 UTC 2026","passed","Fri May 22 12:36:16 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1650","has title","chromium","Fri May 22 12:36:14 UTC 2026","passed","Fri May 22 12:36:15 UTC 2026","","example.spec.ts","",""
"","2341","empty username → shows required error","mobile","Fri May 22 12:36:35 UTC 2026","passed","Fri May 22 12:36:38 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1892","get started link","chromium","Fri May 22 12:36:14 UTC 2026","passed","Fri May 22 12:36:16 UTC 2026","","example.spec.ts","",""
"","398","GET /users → 200 with user list","firefox","Fri May 22 12:36:18 UTC 2026","passed","Fri May 22 12:36:18 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","4167","get started link","firefox","Fri May 22 12:36:18 UTC 2026","passed","Fri May 22 12:36:23 UTC 2026","","example.spec.ts","",""
"","392","GET /users → 200 with user list","mobile","Fri May 22 12:36:26 UTC 2026","passed","Fri May 22 12:36:27 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","427","POST /users → 201 creates user","firefox","Fri May 22 12:36:18 UTC 2026","passed","Fri May 22 12:36:19 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","4641","valid credentials → lands on inventory page","firefox","Fri May 22 12:36:19 UTC 2026","passed","Fri May 22 12:36:23 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
