"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2016","empty username → shows required error","mobile","Fri May 22 13:41:39 UTC 2026","passed","Fri May 22 13:41:41 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","2885","has title","firefox","Fri May 22 13:41:21 UTC 2026","passed","Fri May 22 13:41:24 UTC 2026","","example.spec.ts","",""
"","32","DELETE /users/1 → 200 deleted","mobile","Fri May 22 13:41:29 UTC 2026","passed","Fri May 22 13:41:29 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","388","GET /users → 200 with user list","mobile","Fri May 22 13:41:28 UTC 2026","passed","Fri May 22 13:41:29 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","20","GET /users/999 → 404 not found","mobile","Fri May 22 13:41:29 UTC 2026","passed","Fri May 22 13:41:29 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","361","POST /users → 201 creates user","firefox","Fri May 22 13:41:21 UTC 2026","passed","Fri May 22 13:41:21 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","366","GET /users/1 → 200 with single user","mobile","Fri May 22 13:41:29 UTC 2026","passed","Fri May 22 13:41:30 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","396","GET /users → 200 with user list","firefox","Fri May 22 13:41:20 UTC 2026","passed","Fri May 22 13:41:21 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1607","invalid credentials → shows error banner","chromium","Fri May 22 13:41:15 UTC 2026","passed","Fri May 22 13:41:17 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1646","valid credentials → lands on inventory page","chromium","Fri May 22 13:41:15 UTC 2026","passed","Fri May 22 13:41:17 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","381","GET /users/1 → 200 with single user","chromium","Fri May 22 13:41:15 UTC 2026","passed","Fri May 22 13:41:15 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","4287","invalid credentials → shows error banner","firefox","Fri May 22 13:41:21 UTC 2026","passed","Fri May 22 13:41:25 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1729","has title","chromium","Fri May 22 13:41:15 UTC 2026","passed","Fri May 22 13:41:17 UTC 2026","","example.spec.ts","",""
"","24","DELETE /users/1 → 200 deleted","chromium","Fri May 22 13:41:15 UTC 2026","passed","Fri May 22 13:41:15 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1968","locked out user → shows locked error","firefox","Fri May 22 13:41:26 UTC 2026","passed","Fri May 22 13:41:28 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1648","get started link","chromium","Fri May 22 13:41:15 UTC 2026","passed","Fri May 22 13:41:17 UTC 2026","","example.spec.ts","",""
"","12226","get started link","mobile","Fri May 22 13:41:30 UTC 2026","passed","Fri May 22 13:41:42 UTC 2026","","example.spec.ts","",""
"","26","GET /users/999 → 404 not found","firefox","Fri May 22 13:41:21 UTC 2026","passed","Fri May 22 13:41:21 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
