"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","367","POST /users → 201 creates user","mobile","Fri May 22 13:08:44 UTC 2026","passed","Fri May 22 13:08:44 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","11115","has title","mobile","Fri May 22 13:08:44 UTC 2026","passed","Fri May 22 13:08:55 UTC 2026","","example.spec.ts","",""
"","2523","empty username → shows required error","firefox","Fri May 22 13:08:38 UTC 2026","passed","Fri May 22 13:08:41 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1035","empty username → shows required error","chromium","Fri May 22 13:08:33 UTC 2026","passed","Fri May 22 13:08:34 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","5298","valid credentials → lands on inventory page","firefox","Fri May 22 13:08:35 UTC 2026","passed","Fri May 22 13:08:40 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","366","POST /users → 201 creates user","firefox","Fri May 22 13:08:35 UTC 2026","passed","Fri May 22 13:08:35 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","2251","empty username → shows required error","mobile","Fri May 22 13:08:54 UTC 2026","passed","Fri May 22 13:08:56 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","5194","invalid credentials → shows error banner","firefox","Fri May 22 13:08:35 UTC 2026","passed","Fri May 22 13:08:40 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1695","locked out user → shows locked error","firefox","Fri May 22 13:08:41 UTC 2026","passed","Fri May 22 13:08:43 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","381","PUT /users/1 → 200 updates user","chromium","Fri May 22 13:08:29 UTC 2026","passed","Fri May 22 13:08:29 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","365","PUT /users/1 → 200 updates user","firefox","Fri May 22 13:08:35 UTC 2026","passed","Fri May 22 13:08:35 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","3018","has title","firefox","Fri May 22 13:08:35 UTC 2026","passed","Fri May 22 13:08:38 UTC 2026","","example.spec.ts","",""
"","403","PUT /users/1 → 200 updates user","mobile","Fri May 22 13:08:44 UTC 2026","passed","Fri May 22 13:08:44 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","2095","get started link","chromium","Fri May 22 13:08:29 UTC 2026","passed","Fri May 22 13:08:31 UTC 2026","","example.spec.ts","",""
"","1707","has title","chromium","Fri May 22 13:08:29 UTC 2026","passed","Fri May 22 13:08:31 UTC 2026","","example.spec.ts","",""
"","9206","valid credentials → lands on inventory page","mobile","Fri May 22 13:08:44 UTC 2026","passed","Fri May 22 13:08:54 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1555","invalid credentials → shows error banner","chromium","Fri May 22 13:08:29 UTC 2026","passed","Fri May 22 13:08:31 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","11984","get started link","mobile","Fri May 22 13:08:44 UTC 2026","passed","Fri May 22 13:08:56 UTC 2026","","example.spec.ts","",""
"","2261","locked out user → shows locked error","mobile","Fri May 22 13:08:54 UTC 2026","passed","Fri May 22 13:08:56 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","18","GET /users/999 → 404 not found","chromium","Fri May 22 13:08:29 UTC 2026","passed","Fri May 22 13:08:29 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","5223","get started link","firefox","Fri May 22 13:08:35 UTC 2026","passed","Fri May 22 13:08:40 UTC 2026","","example.spec.ts","",""
"","8994","invalid credentials → shows error banner","mobile","Fri May 22 13:08:44 UTC 2026","passed","Fri May 22 13:08:53 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","372","GET /users/1 → 200 with single user","firefox","Fri May 22 13:08:34 UTC 2026","passed","Fri May 22 13:08:35 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1106","locked out user → shows locked error","chromium","Fri May 22 13:08:33 UTC 2026","passed","Fri May 22 13:08:34 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","385","GET /users/1 → 200 with single user","mobile","Fri May 22 13:08:43 UTC 2026","passed","Fri May 22 13:08:44 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1637","valid credentials → lands on inventory page","chromium","Fri May 22 13:08:29 UTC 2026","passed","Fri May 22 13:08:31 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","376","GET /users → 200 with user list","mobile","Fri May 22 13:08:43 UTC 2026","passed","Fri May 22 13:08:43 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","20","GET /users/999 → 404 not found","firefox","Fri May 22 13:08:35 UTC 2026","passed","Fri May 22 13:08:35 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","23","DELETE /users/1 → 200 deleted","mobile","Fri May 22 13:08:43 UTC 2026","passed","Fri May 22 13:08:43 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","29","DELETE /users/1 → 200 deleted","chromium","Fri May 22 13:08:29 UTC 2026","passed","Fri May 22 13:08:29 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","18","GET /users/999 → 404 not found","mobile","Fri May 22 13:08:43 UTC 2026","passed","Fri May 22 13:08:43 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","23","DELETE /users/1 → 200 deleted","firefox","Fri May 22 13:08:35 UTC 2026","passed","Fri May 22 13:08:35 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","383","POST /users → 201 creates user","chromium","Fri May 22 13:08:29 UTC 2026","passed","Fri May 22 13:08:29 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","407","GET /users → 200 with user list","firefox","Fri May 22 13:08:34 UTC 2026","passed","Fri May 22 13:08:35 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
